iter	RMSE
0	187434.1656
1	172085.8223
2	160131.0117
3	151287.8565
4	144277.5941
5	138368.0118
6	134181.6111
7	130929.585
8	127177.7963
9	124320.3148
10	122487.6962
11	120369.8947
12	119140.0165
13	117494.6756
14	116388.6268
15	114987.4308
16	114150.4038
17	113549.3609
18	112674.1169
19	111915.1599
20	111262.1228
21	110859.8581
22	110097.9252
23	109677.7913
24	109155.4016
25	108857.1965
26	108406.9909
27	107991.5751
28	107583.8926
29	106981.3672
30	106570.4621
31	106313.3198
32	105911.1437
33	105566.4351
34	105266.2347
35	105061.0925
36	104801.4724
37	104379.0416
38	103982.9435
39	103563.3086
40	103247.9314
41	102974.8481
42	102691.9685
43	102451.5458
44	102209.9768
45	101792.6227
46	101613.9242
47	101364.2887
48	101117.0129
49	100805.8805
50	100608.5073
51	100419.6383
52	100212.7191
53	99996.10751
54	99701.99246
55	99449.33169
56	99209.76134
57	98953.87697
58	98503.79627
59	98328.95214
60	98080.90511
61	97823.02629
62	97609.89131
63	97393.48388
64	97206.63287
65	96915.7946
66	96783.55691
67	96580.07541
68	96404.3086
69	96267.0175
70	96064.33582
71	95832.00269
72	95683.90408
73	95547.54987
74	95407.17212
75	95123.8491
76	94891.65469
77	94700.22088
78	94500.8895
79	94305.81641
80	93967.87857
81	93838.37568
82	93724.91165
83	93600.68216
84	93430.77001
85	93296.82474
86	93130.10746
87	92988.40399
88	92821.77267
89	92718.32141
90	92561.50259
91	92411.63805
92	92236.08306
93	92105.12566
94	91985.05839
95	91812.65478
96	91694.17321
97	91591.02537
98	91350.8499
99	91192.75315
100	91118.88459
101	90975.09221
102	90823.24653
103	90647.93619
104	90471.64867
105	90318.71548
106	90203.90957
107	90059.06976
108	89980.843
109	89803.77868
110	89680.2927
111	89536.93751
112	89461.7685
113	89304.85859
114	89173.2205
115	89080.39367
116	88996.63221
117	88879.88937
118	88840.67478
119	88734.26189
120	88616.04568
121	88543.04527
122	88377.23565
123	88269.69955
124	88185.75436
125	88028.52681
126	87943.70819
127	87747.13621
128	87622.64721
129	87484.83234
130	87387.81713
131	87288.30244
132	87138.80749
133	87032.26919
134	86969.17964
135	86899.14149
136	86811.11692
137	86685.97327
138	86587.58819
139	86505.01256
140	86420.9367
141	86279.33719
142	86191.56348
143	86080.77788
144	85977.74867
145	85876.80095
146	85769.86648
147	85679.77988
148	85584.44214
149	85473.03745
150	85395.19516
151	85325.54779
152	85264.28414
153	85204.50252
154	85108.06372
155	85027.52249
156	84893.44624
157	84804.95362
158	84677.08319
159	84596.72482
160	84497.66307
161	84406.66651
162	84327.81969
163	84248.76761
164	84151.57119
165	84039.34726
166	83969.04562
167	83893.14532
168	83780.53611
169	83718.23952
170	83642.84841
171	83560.54616
172	83459.65416
173	83385.28508
174	83306.50701
175	83235.33189
176	83140.25695
177	83069.46691
178	82999.53279
179	82913.15909
180	82805.5811
181	82674.6269
182	82598.3655
183	82524.57919
184	82429.2013
185	82346.16336
186	82305.73067
187	82232.80095
188	82154.06584
189	82098.55561
190	82047.41616
191	81974.32865
192	81875.22538
193	81793.93439
194	81695.80621
195	81613.92634
196	81528.19421
197	81456.5734
198	81384.31971
199	81298.37768
200	81217.95916
201	81143.29262
202	81098.95566
203	81017.86362
204	80971.50292
205	80893.27471
206	80824.76797
207	80765.69035
208	80714.26031
209	80612.91104
210	80530.5042
211	80474.02621
212	80377.9602
213	80281.01515
214	80210.74596
215	80126.68974
216	80055.46768
217	79960.60006
218	79902.81843
219	79841.03763
220	79791.68996
221	79724.17544
222	79646.76468
223	79599.25184
224	79558.99298
225	79488.78989
226	79412.86526
227	79312.17693
228	79255.15166
229	79172.73276
230	79117.27186
231	79046.95381
232	78998.63202
233	78927.20002
234	78782.24987
235	78727.26688
236	78681.03724
237	78629.2233
238	78555.32362
239	78512.27921
240	78452.22788
241	78379.51078
242	78323.5706
243	78283.16761
244	78206.19978
245	78115.19088
246	77974.01494
247	77895.48446
248	77842.22392
249	77782.373
250	77706.91631
251	77660.26771
252	77604.391
253	77520.14074
254	77444.83709
255	77347.35128
256	77277.03893
257	77216.34865
258	77140.0634
259	77095.37092
260	77022.48112
261	76947.11438
262	76891.76785
263	76865.69719
264	76831.71092
265	76760.15282
266	76697.26035
267	76627.34616
268	76583.05047
269	76515.79385
270	76485.98517
271	76402.47478
272	76338.05958
273	76212.23516
274	76086.68575
275	76011.07286
276	75937.97453
277	75869.0979
278	75808.32633
279	75749.60581
280	75706.43819
281	75648.14075
282	75547.91787
283	75519.34609
284	75484.59649
285	75422.18708
286	75351.41894
287	75300.6155
288	75225.07326
289	75181.23056
290	75126.50094
291	75052.75142
292	74984.57418
293	74944.90419
294	74907.11391
295	74859.99304
296	74807.59763
297	74767.99208
298	74706.56824
299	74666.0461
300	74636.27768
301	74575.72655
302	74546.83009
303	74501.64485
304	74439.12598
305	74386.96552
306	74330.41175
307	74252.84108
308	74182.09434
309	74150.28496
310	74091.01707
311	74060.90232
312	74010.83419
313	73955.15098
314	73909.63164
315	73856.57109
316	73815.5702
317	73737.91386
318	73671.6363
319	73626.60894
320	73571.00783
321	73530.41072
322	73479.33683
323	73445.0768
324	73395.72268
325	73327.80937
326	73288.83524
327	73262.55789
328	73143.58345
329	73086.30197
330	73009.11519
331	72943.75843
332	72881.38075
333	72801.92708
334	72756.46131
335	72680.65414
336	72629.55896
337	72568.68293
338	72528.51099
339	72480.56177
340	72451.23915
341	72405.9684
342	72365.53366
343	72312.12302
344	72256.69717
345	72205.49368
346	72132.04148
347	72087.73706
348	72016.86361
