iter	Passed	Remaining
0	4	3366
1	9	3154
2	14	3317
3	18	3217
4	23	3154
5	27	3185
6	32	3199
7	37	3160
8	41	3166
9	46	3180
10	51	3193
11	56	3167
12	60	3168
13	65	3167
14	70	3149
15	74	3139
16	79	3136
17	84	3140
18	88	3119
19	92	3109
20	97	3093
21	101	3078
22	105	3060
23	110	3048
24	114	3053
25	119	3054
26	124	3054
27	129	3052
28	134	3058
29	138	3053
30	143	3055
31	148	3056
32	153	3042
33	157	3038
34	163	3046
35	167	3039
36	172	3031
37	176	3030
38	181	3024
39	185	3017
40	190	3017
41	196	3020
42	200	3012
43	205	3007
44	209	3004
45	214	2996
46	218	2983
47	223	2985
48	228	2984
49	232	2975
50	237	2968
51	242	2971
52	247	2967
53	251	2960
54	257	2967
55	262	2963
56	266	2955
57	272	2962
58	277	2959
59	281	2949
60	285	2944
61	290	2939
62	295	2932
63	299	2926
64	304	2921
65	308	2915
66	313	2906
67	317	2902
68	322	2897
69	327	2894
70	332	2890
71	337	2888
72	342	2887
73	346	2881
74	351	2877
75	356	2871
76	360	2869
77	365	2864
78	370	2859
79	374	2854
80	379	2851
81	384	2846
82	389	2840
83	393	2835
84	398	2828
85	402	2823
86	407	2820
87	412	2815
88	416	2808
89	421	2804
90	425	2797
91	429	2789
92	434	2781
93	438	2778
94	443	2771
95	447	2762
96	452	2759
97	456	2755
98	461	2747
99	465	2741
100	470	2739
101	475	2735
102	480	2731
103	484	2725
104	489	2720
105	493	2713
106	497	2707
107	502	2705
108	507	2699
109	511	2692
110	516	2689
111	520	2683
112	525	2676
113	529	2670
114	534	2667
115	538	2660
116	542	2652
117	547	2646
118	552	2644
119	556	2640
120	561	2635
121	566	2631
122	570	2625
123	574	2617
124	579	2614
125	584	2610
126	588	2605
127	593	2599
128	597	2593
129	602	2589
130	606	2582
131	611	2578
132	615	2574
133	620	2568
134	624	2563
135	629	2558
136	633	2553
137	638	2549
138	642	2542
139	646	2536
140	651	2532
141	656	2528
142	660	2523
143	665	2519
144	669	2513
145	674	2507
146	678	2502
147	683	2497
148	688	2493
149	692	2488
150	697	2484
151	701	2479
152	706	2474
153	711	2470
154	715	2466
155	720	2461
156	725	2456
157	729	2452
158	734	2447
159	738	2441
160	742	2436
161	747	2432
162	751	2426
163	756	2420
164	760	2416
165	765	2412
166	769	2405
167	773	2399
168	779	2397
169	783	2391
170	787	2386
171	792	2381
172	797	2378
173	801	2372
174	805	2367
175	811	2363
176	815	2358
177	819	2352
178	825	2351
179	830	2348
180	834	2342
181	839	2338
182	844	2334
183	848	2330
184	853	2324
185	857	2319
186	862	2314
187	866	2308
188	870	2303
189	875	2299
190	880	2295
191	884	2289
192	889	2284
193	893	2279
194	897	2274
195	902	2269
196	906	2264
197	911	2259
198	915	2253
199	919	2248
200	924	2244
201	928	2239
202	934	2237
203	939	2233
204	943	2228
205	948	2224
206	953	2220
207	958	2217
208	964	2214
209	968	2209
210	973	2205
211	977	2200
212	981	2194
213	986	2189
214	990	2184
215	995	2179
216	999	2174
217	1004	2169
218	1008	2164
219	1012	2159
220	1017	2154
221	1021	2149
222	1026	2144
223	1030	2139
224	1035	2134
225	1040	2130
226	1044	2126
227	1048	2120
228	1053	2115
229	1058	2111
230	1062	2106
231	1066	2100
232	1071	2097
233	1076	2092
234	1080	2086
235	1084	2082
236	1090	2079
237	1094	2074
238	1099	2069
239	1104	2065
240	1108	2060
241	1112	2055
242	1118	2052
243	1123	2048
244	1128	2044
245	1133	2041
246	1138	2038
247	1144	2034
248	1149	2030
249	1154	2027
250	1159	2022
251	1164	2018
252	1169	2015
253	1174	2011
254	1179	2007
255	1184	2003
256	1189	1999
257	1194	1995
258	1200	1992
259	1205	1988
260	1210	1984
261	1215	1981
262	1221	1977
263	1226	1973
264	1230	1969
265	1235	1965
266	1240	1960
267	1245	1955
268	1250	1951
269	1270	1970
270	1274	1965
271	1279	1961
272	1284	1957
273	1289	1952
274	1293	1947
275	1299	1944
276	1303	1939
277	1308	1933
278	1312	1929
279	1317	1924
280	1321	1919
281	1326	1914
282	1331	1910
283	1336	1905
284	1340	1900
285	1346	1897
286	1350	1892
287	1355	1886
288	1360	1883
289	1365	1879
290	1370	1874
291	1376	1871
292	1381	1867
293	1386	1862
294	1390	1857
295	1395	1853
296	1400	1848
297	1405	1843
298	1410	1839
299	1414	1834
300	1419	1830
301	1424	1825
302	1430	1821
303	1434	1817
304	1439	1812
305	1444	1808
306	1449	1803
307	1454	1799
308	1459	1795
309	1464	1790
310	1469	1785
311	1474	1781
312	1479	1776
313	1483	1771
314	1487	1766
315	1492	1761
316	1496	1756
317	1501	1751
318	1505	1746
319	1510	1742
320	1515	1737
321	1519	1732
322	1524	1727
323	1529	1722
324	1533	1717
325	1537	1712
326	1542	1708
