Unnamed: 0,id,url,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,buildingCondition,buildingConstructionYear,facedeCount,floodZoneType,heatingType,kitchenType,hasLivingRoom,toiletCount,hasTerrace,epcScore,price
0,20661494.0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20661494,APARTMENT,APARTMENT,2.0,1.0,Brussels,Etterbeek,1040,100.0,GOOD,2004.0,1.0,NON_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,1.0,True,C,399000.0
1,20647642.0,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/20647642,HOUSE,HOUSE,4.0,2.0,Brussels,Etterbeek,1040,270.0,TO_BE_DONE_UP,1910.0,2.0,NON_FLOOD_ZONE,FUELOIL,INSTALLED,True,3.0,True,E,895000.0
11,20577219.0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20577219,APARTMENT,APARTMENT,3.0,1.0,Brussels,Etterbeek,1040,119.0,TO_RENOVATE,1944.0,2.0,NON_FLOOD_ZONE,GAS,NOT_INSTALLED,True,1.0,True,E,370000.0
16,20638164.0,https://www.immoweb.be/en/classified/penthouse/for-sale/etterbeek/1040/20638164,APARTMENT,PENTHOUSE,3.0,1.0,Brussels,Etterbeek,1040,198.0,AS_NEW,1912.0,3.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,3.0,True,B,995000.0
20,20634202.0,https://www.immoweb.be/en/classified/penthouse/for-sale/etterbeek/1040/20634202,APARTMENT,PENTHOUSE,3.0,2.0,Brussels,Etterbeek,1040,220.0,AS_NEW,1912.0,3.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,3.0,True,C,950000.0
22,20638165.0,https://www.immoweb.be/en/classified/penthouse/for-sale/etterbeek/1040/20638165,APARTMENT,PENTHOUSE,2.0,1.0,Brussels,Etterbeek,1040,187.0,JUST_RENOVATED,1912.0,3.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,3.0,True,C,795000.0
30,20654767.0,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/20654767,HOUSE,HOUSE,6.0,2.0,Brussels,Etterbeek,1040,330.0,TO_RENOVATE,1952.0,2.0,NON_FLOOD_ZONE,FUELOIL,SEMI_EQUIPPED,True,3.0,True,G,1090000.0
32,20622549.0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20622549,APARTMENT,APARTMENT,1.0,1.0,Brussels,Etterbeek,1040,80.0,TO_RENOVATE,1909.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,F,230000.0
34,20628036.0,https://www.immoweb.be/en/classified/mansion/for-sale/etterbeek/1040/20628036,HOUSE,MANSION,3.0,1.0,Brussels,Etterbeek,1040,178.0,TO_RENOVATE,1899.0,2.0,NON_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,2.0,True,E,549000.0
36,20439478.0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20439478,APARTMENT,APARTMENT,2.0,1.0,Brussels,Etterbeek,1040,100.0,TO_BE_DONE_UP,1956.0,2.0,NON_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,1.0,True,F,315000.0
