model,mae,rmse,r2
Linear Regression (All Features),85510.11,121149.58,0.6366
Random Forest (All Features),65705.67,98940.13,0.7576
Linear Regression (Top Features),96534.1,136104.16,0.5413
Random Forest (Top Features),67309.43,101408.12,0.7454
XGBoost (All Features),66302.09,97431.35,0.7649
XGBoost (Top RF Features),65661.18,97742.14,0.7634
GradientBoosting (All Features),76999.33,110878.68,0.6956
GradientBoosting (Top RF Features),76517.08,110878.68,0.6963
LightGBM (All Features),65548.48,97417.23,0.765
LightGBM (Top RF Features),67205.03,99709.18,0.7538
CatBoost (All Features),65032.25,95451.36,0.7744
CatBoost (Top RF Features),64368.78,95924.36,0.7722
XGBoost + Optuna (All Features),59806.47654956112,90175.0105797839,0.7986509608263795
XGBoost + Optuna (Top RF Features),151034.2036166777,200819.24038920383,0.0014086549624168
XGBoost + Optuna CV (All Features) – optimized,40994.59427430107,58560.84711972074,0.9163597011536464
XGBoost + Optuna CV (Top RF Features) – optimized,39705.09398963612,56732.458564304696,0.921501007244666
LightGBM + Optuna CV (All Features) – optimized,46632.28143799524,68248.44393593134,0.8863978939322973
LightGBM + Optuna CV (Top RF Features) – optimized,42008.0182845041,60202.11152332708,0.9116056874011952
XGBoost + Optuna (All Features),60480.87823213398,91577.7614209842,0.7923379179540256
XGBoost + Optuna (Top RF Features),62909.64356471514,94335.86930498228,0.7796409612210407
LightGBM + Optuna CV (All Features) – optimized,47377.77997190903,69119.9419784834,0.8834780873298652
LightGBM + Optuna CV (Top RF Features) – optimized,45872.49921386256,66342.02432372884,0.8926558668054161
CatBoost + Optuna CV (All Features) – optimized,47541.8298396496,65274.90315571358,0.8960813856272243
CatBoost + Optuna CV (Top RF Features) – optimized,34139.04689165952,48097.92312615254,0.9435773444137232
Stacked Ensemble (Lasso + RF + XGB → Ridge),63313.06669837216,94037.62473064708,0.7843228297865985
Stacked Ensemble (Lasso + RF + XGB → Ridge),63313.06669837216,94037.62473064708,0.7843228297865985
Stacked (XGB + LGBM + CatBoost → Ridge),64188.47467004602,95674.46429706507,0.773342947913136
Stacked (XGB + LGBM + CatBoost → GBR) [All Features],64043.06729446744,94816.85238674255,0.7773881772211708
Stacked (XGB + LGBM + CatBoost → GBR) [Top 30 RF Features],64134.78481181568,95714.93972164587,0.7731511311929654
CatBoost + Optuna CV (Top RF Features) – optimized,46634.30773898734,66384.66731485243,0.8925178262162492
CatBoost + Optuna RepeatedCV (All Features) - RepeatedKFold,44686.00620670005,61422.22570609729,0.9079864102830512
CatBoost + Optuna RepeatedCV (Top RF Features) - RepeatedKFold,41495.974928735646,58790.47797765464,0.9157024685170913
