iter	RMSE
0	196427.0987
1	190578.5255
2	185254.243
3	180550.1234
4	176134.3063
5	171680.7803
6	167753.9115
7	164171.0912
8	161142.0509
9	158225.1492
10	155535.0457
11	153016.3308
12	150673.1021
13	148565.8531
14	146412.3282
15	144569.4855
16	142906.3129
17	141142.9324
18	139499.465
19	138011.0913
20	136698.1028
21	135492.8569
22	134233.809
23	133047.995
24	131951.5387
25	131023.4565
26	130042.7303
27	129213.2988
28	128387.4212
29	127656.1502
30	126823.717
31	126062.527
32	125448.9065
33	124825.5733
34	124265.3273
35	123693.5159
36	123175.5131
37	122690.3349
38	122142.1689
39	121656.0076
40	121241.0668
41	120848.7515
42	120438.5178
43	120046.3629
44	119651.3911
45	119281.347
46	118762.2193
47	118390.6171
48	118074.6665
49	117773.5272
50	117438.3556
51	117085.9905
52	116819.6932
53	116607.0641
54	116354.1228
55	116018.6597
56	115668.6756
57	115450.8079
58	115181.2296
59	114940.6394
60	114746.2862
61	114517.2453
62	114343.7065
63	114156.8534
64	113991.2281
65	113794.0402
66	113536.0453
67	113288.0518
68	113069.9546
69	112900.6848
70	112705.0101
71	112583.0589
72	112425.012
73	112302.6793
74	112179.4839
75	112056.8326
76	111845.9399
77	111650.1587
78	111474.85
79	111353.4527
80	111189.9575
81	111082.2254
82	110949.1676
83	110825.2151
84	110649.841
85	110537.3956
86	110442.8711
87	110266.9239
88	110164.2882
89	109977.7299
90	109889.1051
91	109792.5345
92	109627.3344
93	109513.3843
94	109433.8802
95	109295.6338
96	109165.0759
97	109057.3587
98	108858.5621
99	108741.8564
100	108666.3833
101	108576.7541
102	108465.0677
103	108349.8037
104	108268.3429
105	108184.7679
106	108127.8671
107	108014.0376
108	107933.9897
109	107851.9021
110	107785.986
111	107654.4427
112	107564.1596
113	107434.8588
114	107300.7383
115	107184.5845
116	107103.2314
117	107016.6561
118	106911.5559
119	106844.9378
120	106737.7201
121	106675.0153
122	106584.4909
123	106496.9451
124	106433.9951
125	106341.0339
126	106250.7532
127	106170.4645
