iter	RMSE
0	193790.6393
1	181766.1359
2	172104.348
3	163602.0931
4	156630.3169
5	150666.2241
6	145713.6188
7	141632.1066
8	138283.7177
9	134888.2634
10	131789.5628
11	129240.6412
12	127502.2978
13	125729.5728
14	124107.7274
15	122664.9592
16	121432.124
17	120055.4303
18	119069.6913
19	118043.7437
20	117185.6865
21	116505.6126
22	115867.6494
23	115326.7661
24	114429.7731
25	113820.8595
26	113389.8329
27	112909.7754
28	112476.2188
29	112143.3578
30	111854.7453
31	111498.6021
32	110918.0318
33	110564.6215
34	110365.0152
35	110085.9393
36	109716.7369
37	109301.4212
38	108881.4387
39	108700.0674
40	108402.7405
41	108078.2033
42	107760.1925
43	107495.8716
44	107180.3421
45	106958.9022
46	106718.6606
47	106446.9029
48	106239.5058
49	105943.4852
50	105748.7074
51	105597.3798
52	105476.0608
53	105263.1085
54	105121.4576
55	104947.3589
56	104829.0492
57	104563.6558
58	104378.873
59	104115.1667
60	103945.7184
61	103796.3091
62	103647.8114
63	103501.2
64	103176.1336
65	103086.9757
66	102905.2459
67	102753.8532
68	102624.9029
69	102474.3835
70	102110.4599
71	101933.6941
72	101731.8237
73	101520.3927
74	101356.2028
75	101201.7397
76	100929.2454
77	100772.41
78	100531.2221
79	100405.0112
80	100216.4592
81	99916.11899
82	99786.13873
83	99640.9709
84	99464.1088
85	99313.28776
86	99210.43896
87	99115.57449
88	99020.36983
89	98784.34561
90	98487.38026
91	98352.88499
92	98260.06295
93	98160.08482
94	98067.99696
95	97902.0508
96	97739.70497
97	97543.40724
98	97414.16349
99	97266.2738
100	97180.90945
101	97092.10706
102	96953.25606
103	96853.86776
104	96750.14618
105	96655.57668
106	96555.39858
107	96447.13527
108	96264.43096
109	96209.92292
110	96035.99749
111	95975.0309
112	95908.57032
113	95792.43331
114	95740.59626
115	95672.0238
116	95506.73738
117	95435.9023
118	95327.59563
119	95161.89772
120	95060.32235
121	94977.08163
122	94853.43806
123	94783.44126
124	94620.36385
125	94534.01033
126	94369.2609
127	94234.21149
128	94187.15715
129	94094.55083
130	93969.10642
131	93866.31756
132	93790.99111
133	93660.32688
134	93555.18959
135	93464.74652
136	93301.25784
137	93215.44149
138	93143.12829
139	93084.43245
140	93009.11835
141	92918.53966
142	92812.35077
143	92727.06807
144	92677.04825
145	92567.23839
146	92501.60532
147	92409.31069
148	92341.1882
149	92276.03605
150	92195.94016
151	92132.76146
152	92044.8716
153	91933.32346
154	91837.42009
155	91730.25099
156	91656.83844
157	91531.25528
158	91454.42159
159	91394.52352
160	91291.94507
161	91229.05827
162	91108.88628
163	91020.25483
164	90968.83928
165	90899.9481
166	90837.53964
167	90755.10491
168	90681.95987
169	90579.28126
170	90519.03745
