iter	Passed	Remaining
0	3	3579
1	6	3176
2	9	3149
3	12	3012
4	15	2873
5	17	2790
6	20	2750
7	22	2697
8	24	2640
9	27	2610
10	30	2626
11	33	2664
12	36	2670
13	39	2650
14	41	2614
15	43	2587
16	46	2557
17	48	2552
18	51	2546
19	53	2526
20	56	2511
21	58	2491
22	60	2474
23	63	2464
24	65	2453
25	68	2444
26	70	2432
27	73	2433
28	75	2423
29	77	2414
30	80	2413
31	83	2409
32	85	2406
33	88	2404
34	90	2395
35	93	2390
36	95	2385
37	98	2378
38	100	2373
39	102	2360
40	105	2357
41	108	2363
42	110	2361
43	113	2354
44	115	2346
45	117	2343
46	120	2336
47	122	2328
48	125	2331
49	127	2327
50	130	2322
51	132	2316
52	134	2309
53	137	2299
54	139	2296
55	142	2294
56	144	2288
57	147	2287
58	149	2279
59	151	2272
60	154	2272
61	156	2268
62	158	2262
63	161	2261
64	164	2258
65	166	2259
66	169	2255
67	171	2252
68	173	2245
69	176	2239
70	178	2234
71	180	2230
72	183	2224
73	185	2221
74	187	2215
75	190	2210
76	192	2207
77	194	2201
78	197	2200
79	199	2197
80	202	2194
81	204	2190
82	206	2186
83	209	2186
84	212	2185
85	214	2183
86	217	2177
87	219	2172
88	221	2166
89	223	2161
90	225	2157
91	228	2153
92	230	2151
93	232	2146
94	235	2142
95	237	2137
96	239	2133
97	242	2130
98	244	2127
99	247	2127
100	249	2124
101	252	2120
102	254	2118
103	256	2114
104	259	2112
105	262	2115
106	264	2110
107	266	2105
108	269	2101
109	271	2097
110	273	2093
111	276	2090
112	278	2090
113	281	2090
114	285	2094
115	288	2096
116	291	2096
117	294	2098
118	297	2099
119	299	2098
120	302	2096
121	305	2095
122	308	2096
123	310	2094
124	313	2093
125	315	2090
126	318	2088
127	320	2084
128	323	2085
129	326	2082
130	328	2080
131	331	2076
132	333	2072
133	335	2069
134	338	2069
135	341	2069
136	344	2066
137	346	2064
138	349	2062
139	351	2059
140	354	2057
141	356	2056
142	359	2054
143	362	2051
144	364	2048
145	366	2043
146	369	2043
147	372	2041
148	374	2039
149	377	2038
150	380	2036
151	382	2034
152	385	2032
153	387	2029
154	390	2028
155	392	2024
156	395	2020
157	397	2018
158	400	2015
159	402	2010
160	404	2007
161	407	2005
162	409	2001
163	411	1999
164	414	1996
165	416	1992
166	418	1989
167	421	1986
168	423	1981
169	425	1978
170	428	1976
171	430	1973
172	432	1969
173	435	1965
174	437	1961
175	439	1957
176	441	1954
177	444	1954
178	447	1950
179	449	1947
180	451	1943
181	453	1939
182	456	1937
183	458	1934
184	460	1930
185	463	1927
186	465	1924
187	467	1920
188	470	1919
189	473	1918
190	476	1917
191	479	1916
192	487	1936
193	489	1932
194	491	1929
195	494	1928
196	497	1926
197	499	1923
198	502	1923
199	505	1919
200	507	1915
201	509	1912
202	511	1908
203	514	1905
204	516	1902
205	518	1899
206	521	1895
207	523	1892
208	526	1890
209	528	1888
210	531	1886
211	533	1883
212	536	1880
213	538	1877
214	540	1874
215	543	1870
216	545	1866
217	548	1865
218	550	1863
219	553	1861
220	555	1857
221	557	1853
222	560	1850
223	562	1848
224	564	1845
225	567	1842
226	569	1840
227	572	1838
228	574	1835
229	577	1833
230	580	1830
231	582	1828
232	585	1825
233	587	1822
234	589	1819
235	592	1816
236	594	1814
237	597	1811
238	599	1808
239	601	1804
240	604	1804
241	607	1802
242	610	1800
243	612	1797
244	615	1795
245	617	1793
246	620	1790
247	622	1787
248	624	1784
249	627	1781
250	629	1779
251	632	1776
252	634	1772
253	636	1770
254	639	1767
255	641	1763
256	643	1760
257	645	1757
258	648	1754
259	650	1750
260	653	1749
261	655	1746
262	657	1743
263	660	1741
264	663	1738
265	665	1735
266	667	1733
267	670	1730
268	672	1726
269	674	1723
270	677	1721
271	679	1718
272	681	1715
273	684	1713
274	686	1710
275	688	1707
276	691	1704
277	693	1701
278	695	1698
279	698	1696
280	701	1694
281	703	1692
282	706	1689
283	708	1685
284	710	1683
285	713	1681
286	715	1678
287	718	1675
288	720	1673
289	722	1670
290	725	1667
291	727	1665
292	730	1662
293	732	1659
294	734	1656
295	736	1652
296	739	1649
297	741	1646
298	744	1645
299	746	1642
300	749	1639
301	751	1636
302	753	1633
303	755	1630
304	758	1628
305	760	1625
306	762	1622
307	765	1620
308	768	1618
309	770	1615
310	772	1612
311	775	1609
312	777	1606
313	779	1603
314	782	1601
315	784	1598
316	786	1595
317	789	1594
318	792	1592
319	794	1589
320	797	1587
321	799	1584
322	802	1581
323	804	1579
324	807	1577
325	809	1574
326	811	1571
327	814	1568
328	816	1565
329	819	1564
330	822	1563
331	825	1560
332	827	1558
333	830	1555
334	832	1552
335	835	1550
336	837	1548
337	840	1546
338	842	1543
339	844	1540
340	847	1537
341	849	1535
342	851	1532
343	854	1529
344	856	1526
345	858	1523
346	860	1520
347	863	1518
348	866	1516
349	868	1514
350	871	1511
351	873	1509
352	875	1506
353	878	1503
354	880	1500
355	883	1498
356	886	1496
357	888	1494
358	890	1491
359	895	1492
360	898	1491
361	901	1489
362	904	1487
363	906	1484
364	910	1483
365	912	1481
366	916	1480
367	918	1478
368	921	1475
369	923	1472
370	926	1471
371	929	1468
372	931	1466
373	936	1467
374	940	1466
375	942	1463
376	944	1461
377	947	1458
378	949	1455
379	951	1452
380	954	1449
381	956	1447
382	958	1444
